fiscal_year,corp_code,stock_code,company_name,dart_corp_cls,marcap_matched,observed_markets,observed_names,first_trade_date,last_trade_date,observed_trading_rows,positive_volume_days,median_daily_amount_krw,median_marcap_raw,min_marcap_raw,max_marcap_raw,flag_spac,flag_reit,flag_fund_etf_etn,flag_preferred_name,security_review_status,modern_oos_protected
2015,00111874,005710,대원산업,K,True,KOSDAQ,대원산업,2015-01-02,2015-12-30,248,248,116593695.0,130973040000.0,108020880000.0,173962800000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00111999,003220,대원제약,Y,True,KOSPI,대원제약,2015-01-02,2015-12-30,248,248,1760687525.0,327536863150.0,237229251000.0,511695859600.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112022,024890,대원화성,Y,True,KOSPI,대원화성,2015-01-02,2015-12-30,248,248,805131887.5,115871806460.0,73517810080.0,166918289760.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112059,001290,상상인증권,Y,True,KOSPI,골든브릿지증권,2015-01-02,2015-12-30,248,247,315011297.5,78237249742.5,51945709605.0,114089349930.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112165,092200,디아이씨,Y,True,KOSPI,디아이씨,2015-01-02,2015-12-30,248,248,712787215.0,122713500000.0,88427500000.0,234360000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112332,085620,미래에셋생명,Y,True,KOSPI,미래에셋생명,2015-07-08,2015-12-30,121,121,1715437880.0,847851200000.0,727351800000.0,1065621200000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112378,000040,KR모터스,Y,True,KOSPI,KR모터스,2015-01-02,2015-12-30,248,248,887147995.0,179690458100.0,121728206580.0,283122038860.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112457,003310,대주산업,K,True,KOSDAQ,대주산업,2015-01-02,2015-12-30,248,248,576152942.5,39285508500.0,23500520400.0,52557639750.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112651,012800,대창,Y,True,KOSPI,대창,2015-01-02,2015-12-30,248,248,759315945.0,86127771555.0,70542746226.0,107545788820.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112679,015230,대창단조,Y,True,KOSPI,대창단조,2015-01-02,2015-12-30,248,248,209281950.0,100200000000.0,82000000000.0,116000000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112721,140520,대창스틸,K,True,KOSDAQ,대창스틸,2015-01-02,2015-12-30,248,248,489187380.0,60011920000.0,40347820000.0,94970320000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00112970,001070,대한방직,Y,True,KOSPI,대한방직,2015-01-02,2015-12-30,248,248,433693400.0,79182000000.0,32330000000.0,163770000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00113058,088350,한화생명,Y,True,KOSPI,한화생명,2015-01-02,2015-12-30,248,248,4844098280.0,6887442900000.0,6279471900000.0,7425931500000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00113128,023910,대한약품,K,True,KOSDAQ,대한약품,2015-01-02,2015-12-30,248,248,675588800.0,130200000000.0,108000000000.0,150600000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00113191,003690,코리안리,Y,True,KOSPI,코리안리,2015-01-02,2015-12-30,248,248,3121513800.0,1519660089500.0,1209709615800.0,1799518284200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00113207,001440,대한전선,Y,True,KOSPI,대한전선,2015-01-02,2015-12-30,248,16,0.0,196244022000.0,196244022000.0,5034535386000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
