corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,signal_date_status,mcap_status,modern_oos_protected
00101664,경보제약,2016,Q3,OFS,2400451971.0,,False,,False,False,124638350619.0,1985390834.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101664,경보제약,2016,Q4,OFS,3492637281.0,,False,12705929801.0,True,True,129402339511.0,-26183436677.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101752,(주)케이씨피드,2016,Q1,CFS,672805957.0,,False,,False,False,44137250643.0,-2291335279.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101752,(주)케이씨피드,2016,Q2,CFS,877572437.0,,False,,False,False,44708751324.0,2113319340.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101752,(주)케이씨피드,2016,Q3,CFS,289842494.0,,False,,False,False,53128687435.0,-1514468836.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101752,(주)케이씨피드,2016,Q4,CFS,61267993.0,,False,754703457.0,True,True,52101913632.0,1911863152.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102113,(주)경인양행,2016,Q1,CFS,771635091.0,,False,,False,False,198646682163.0,8283133576.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102113,(주)경인양행,2016,Q2,CFS,6549925875.0,,False,,False,False,203427337757.0,6183887391.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102113,(주)경인양행,2016,Q3,CFS,1490463901.0,,False,,False,False,205024850782.0,5003078440.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102113,(주)경인양행,2016,Q4,CFS,1765156449.0,,False,6837522077.0,True,True,208293196152.0,-9559846204.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q1,CFS,4693614049.0,,False,,False,False,166601120883.0,-1587487690.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q2,CFS,4945123256.0,,False,,False,False,174891535493.0,2734660449.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q3,CFS,3851087648.0,,False,,False,False,176840235654.0,-418097926.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q4,CFS,1965156397.0,,False,17233731189.0,True,True,179133111299.0,-3994552283.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q1,CFS,2938069218.0,,False,,False,False,80502386125.0,4935582959.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q2,CFS,1031354648.0,,False,,False,False,81203889201.0,1103392796.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q3,CFS,1780194341.0,,False,,False,False,85632015432.0,4807557725.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q4,CFS,929665746.0,,False,6852573362.0,True,True,85020282528.0,1252718345.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q1,CFS,24483474680.0,,False,,False,False,1312387890546.0,9176040449.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q2,CFS,1810671948.0,,False,,False,False,1287309776244.0,-126407257418.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q3,CFS,2346327763.0,,False,,False,False,1262589275607.0,-77137903260.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q4,CFS,-15845459480.0,,False,,True,True,1064676566637.0,85843143535.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,고려아연(주),2016,Q1,CFS,187259258022.0,,False,,False,False,5199221039953.0,222018066883.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,고려아연(주),2016,Q2,CFS,180164079862.0,,False,,False,False,5331977325784.0,107262933976.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,고려아연(주),2016,Q3,CFS,160837577123.0,,False,,False,False,5439998264479.0,70797438454.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,고려아연(주),2016,Q4,CFS,236423672870.0,,False,594584342454.0,True,True,5662704694368.0,93861627195.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103006,고려제강,2016,Q1,CFS,9181373558.0,,False,,False,False,1493111384711.0,-27953397768.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103006,고려제강,2016,Q2,CFS,10801558070.0,,False,,False,False,1493184809764.0,21069241234.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103006,고려제강,2016,Q3,CFS,11760237124.0,,False,,False,False,1464485960655.0,-18691170632.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103006,고려제강,2016,Q4,CFS,5274417570.0,,False,40289726891.0,True,True,1482333327488.0,-23401225261.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103042,(주)케이씨티시,2016,Q1,CFS,3179633533.0,,False,,False,False,173670579625.0,-2923362670.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103042,(주)케이씨티시,2016,Q2,CFS,5387541644.0,,False,,False,False,177631196000.0,5075063432.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103042,(주)케이씨티시,2016,Q3,CFS,2725351836.0,,False,,False,False,177153955030.0,8321733587.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103042,(주)케이씨티시,2016,Q4,CFS,2374042615.0,,False,8228580660.0,True,True,178530327247.0,-1580182163.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103510,인지컨트롤스(주),2016,Q1,CFS,5923875232.0,,False,,False,False,204026139056.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103510,인지컨트롤스(주),2016,Q2,CFS,5799789432.0,,False,,False,False,204228075710.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103510,인지컨트롤스(주),2016,Q3,CFS,4153167567.0,,False,,False,False,201277900769.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00103510,인지컨트롤스(주),2016,Q4,CFS,2493240571.0,,False,11542486160.0,True,True,207802871609.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
