corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to,stock_code,corp_cls,first_period,seed_source
00664853,2020,제이씨케미칼,,20200515,20200515001321,,137950,K,Q1,historical_dart_periodic_filing_universe
00665676,2020,아시아경제,,20200515,20200515002171,,127710,K,Q1,historical_dart_periodic_filing_universe
00666064,2020,셀바스AI,,20200515,20200515002210,,108860,K,Q1,historical_dart_periodic_filing_universe
00666204,2020,제너셈,,20200514,20200514001130,,217190,K,Q1,historical_dart_periodic_filing_universe
00667425,2020,에이팩트,,20200515,20200515000408,,200470,K,Q1,historical_dart_periodic_filing_universe
00670340,2020,씨에스윈드,,20200515,20200515000912,,112610,Y,Q1,historical_dart_periodic_filing_universe
00670766,2020,엠엑스온,,20201113,20201113000510,,347890,K,Q3,historical_dart_periodic_filing_universe
00671376,2020,트리니티항공,,20200515,20200515001350,,091810,Y,Q1,historical_dart_periodic_filing_universe
00671978,2020,그리티,,20200515,20200515001278,,204020,K,Q1,historical_dart_periodic_filing_universe
00674498,2020,골프존홀딩스,,20200515,20200515000563,,121440,K,Q1,historical_dart_periodic_filing_universe
00675594,2020,디티앤씨,,20200515,20200515002517,,187220,K,Q1,historical_dart_periodic_filing_universe
00679314,2020,동성케미컬,,20200515,20200515001642,,102260,Y,Q1,historical_dart_periodic_filing_universe
00681249,2020,씨유메디칼,,20200515,20200515002305,,115480,K,Q1,historical_dart_periodic_filing_universe
00681373,2020,디지캡,,20200514,20200514001115,,197140,K,Q1,historical_dart_periodic_filing_universe
00683007,2020,퀀텀레일,,20200515,20200515001759,,070300,K,Q1,historical_dart_periodic_filing_universe
00683469,2020,일진전기,,20200515,20200515001448,,103590,Y,Q1,historical_dart_periodic_filing_universe
00684714,2020,풍산,,20200515,20200515001592,,103140,Y,Q1,historical_dart_periodic_filing_universe
00684802,2020,에이플러스에셋,,20200601,20200601000747,,244920,Y,Q1,historical_dart_periodic_filing_universe
00687711,2020,한국철강,,20200515,20200515000786,,104700,Y,Q1,historical_dart_periodic_filing_universe
00688358,2020,하이즈항공,,20200515,20200515000839,,221840,K,Q1,historical_dart_periodic_filing_universe
00688996,2020,KB금융,,20200515,20200515002333,,105560,Y,Q1,historical_dart_periodic_filing_universe
00692254,2020,아이패밀리에스씨,,20200515,20200515002645,,114840,K,Q1,historical_dart_periodic_filing_universe
00693554,2020,티케이케미칼,,20200515,20200515002639,,104480,K,Q1,historical_dart_periodic_filing_universe
00693651,2020,비덴트,,20200515,20200515002692,,121800,K,Q1,historical_dart_periodic_filing_universe
00694942,2020,이미지스,,20200515,20200515002360,,115610,K,Q1,historical_dart_periodic_filing_universe
00695969,2020,동운아나텍,,20200512,20200512000409,,094170,K,Q1,historical_dart_periodic_filing_universe
00706715,2020,미원홀딩스,,20200515,20200515000694,,107590,Y,Q1,historical_dart_periodic_filing_universe
00728638,2020,한세실업,,20200515,20200515001766,,105630,Y,Q1,historical_dart_periodic_filing_universe
00753643,2020,주성코퍼레이션,,20200514,20200514000330,,109070,Y,Q1,historical_dart_periodic_filing_universe
00755739,2020,파인테크닉스,,20200514,20200514000751,,106240,K,Q1,historical_dart_periodic_filing_universe
00759294,2020,와이솔,,20200515,20200515001674,,122990,K,Q1,historical_dart_periodic_filing_universe
00759513,2020,LX하우시스,,20200515,20200515001669,,108670,Y,Q1,historical_dart_periodic_filing_universe
00760971,2020,크래프톤,,20200515,20200515002608,,259960,Y,Q1,historical_dart_periodic_filing_universe
00760999,2020,상신전자,,20200514,20200514000249,,263810,K,Q1,historical_dart_periodic_filing_universe
00761059,2020,펌텍코리아,,20200513,20200513000228,,251970,K,Q1,historical_dart_periodic_filing_universe
00761952,2020,아나패스,,20200515,20200515000598,,123860,K,Q1,historical_dart_periodic_filing_universe
00763473,2020,코스메카코리아,,20200514,20200514000028,,241710,K,Q1,historical_dart_periodic_filing_universe
00763701,2020,헥토파이낸셜,,20200515,20200515001055,,234340,K,Q1,historical_dart_periodic_filing_universe
00765462,2020,씨에스베어링,,20200515,20200515000614,,297090,K,Q1,historical_dart_periodic_filing_universe
00765851,2020,위더스제약,,20200928,20200928000399,,330350,K,H1,historical_dart_periodic_filing_universe
00766106,2020,엣지파운드리,,20200508,20200508000477,,105550,K,Q1,historical_dart_periodic_filing_universe
00767460,2020,PI첨단소재,,20200515,20200515002087,,178920,Y,Q1,historical_dart_periodic_filing_universe
00767628,2020,나이벡,,20200515,20200515001926,,138610,K,Q1,historical_dart_periodic_filing_universe
00769158,2020,케이엔제이,,20200515,20200515000419,,272110,K,Q1,historical_dart_periodic_filing_universe
00770312,2020,마니커에프앤지,,20200515,20200515000762,,195500,K,Q1,historical_dart_periodic_filing_universe
00776820,2020,영원무역,,20200515,20200515001242,,111770,Y,Q1,historical_dart_periodic_filing_universe
00778235,2020,TS인베스트먼트,,20200514,20200514000433,,246690,K,Q1,historical_dart_periodic_filing_universe
00781202,2020,파이온엑스,,20200629,20200629000120,,900100,K,Q1,historical_dart_periodic_filing_universe
00783246,2020,글로벌에스엠,,20200527,20200527000029,,900070,K,Q1,historical_dart_periodic_filing_universe
00787057,2020,휴맥스,,20200515,20200515002309,,115160,K,Q1,historical_dart_periodic_filing_universe
00787376,2020,대성에너지,,20200515,20200515001551,,117580,Y,Q1,historical_dart_periodic_filing_universe
00788737,2020,이퓨쳐,,20200515,20200515000430,,134060,K,Q1,historical_dart_periodic_filing_universe
00788773,2020,씨젠,,20200513,20200513000615,,096530,K,Q1,historical_dart_periodic_filing_universe
00791209,2020,메타케어,,20200515,20200515002703,,118000,Y,Q1,historical_dart_periodic_filing_universe
00793155,2020,폴라리스AI핸디,,20200515,20200515001773,,220180,K,Q1,historical_dart_periodic_filing_universe
00795135,2020,코오롱인더,,20200515,20200515002528,,120110,Y,Q1,historical_dart_periodic_filing_universe
