corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,receipt_no,receipt_date,signal_date_status,mcap_status,modern_oos_protected
00102618,,2015,Q2,CFS,2184045621.0,,False,,False,False,157442327256.0,-8056124384.0,,,False,20150813000727.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,,2015,Q3,CFS,2080315605.0,,False,,False,False,161116791310.0,-804948000.0,,,False,20151116000610.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,,2015,Q4,CFS,-143985537.0,,False,9581186296.0,True,True,160448786409.0,-3795946857.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q1,CFS,4693614049.0,2982641323.0,False,11684663804.0,True,True,166601120883.0,-1587487690.0,5028414181.0,-6615901871.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q2,CFS,4945123256.0,2184045621.0,False,16990174934.0,True,True,174891535493.0,2734660449.0,-8056124384.0,10790784833.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q3,CFS,3851087648.0,2080315605.0,False,16321097386.0,True,True,176840235654.0,-418097926.0,-804948000.0,386850074.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102618,계양전기 주식회사,2016,Q4,CFS,1965156397.0,-143985537.0,True,17233731189.0,True,True,179133111299.0,-3994552283.0,-3795946857.0,-198605426.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,,2015,Q1,CFS,3636685902.0,,False,,False,False,76957965583.0,9382086962.0,,,False,20150514001203.0,20150514.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,,2015,Q2,CFS,2066060424.0,,False,,False,False,78359414636.0,72151659.0,,,False,20150813000508.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,,2015,Q3,CFS,964463871.0,,False,,False,False,78739645818.0,-6734192362.0,,,False,20151116000906.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,,2015,Q4,CFS,94287346.0,,False,5400030676.0,True,True,79342018649.0,3048669847.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q1,CFS,2938069218.0,3636685902.0,False,5329084521.0,True,True,80502386125.0,4935582959.0,9382086962.0,-4446504003.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q2,CFS,1031354648.0,2066060424.0,False,4489329174.0,True,True,81203889201.0,1103392796.0,72151659.0,1031241137.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q3,CFS,1780194341.0,964463871.0,False,7796746606.0,True,True,85632015432.0,4807557725.0,-6734192362.0,11541750087.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102751,고려산업주식회사,2016,Q4,CFS,929665746.0,94287346.0,False,6852573362.0,True,True,85020282528.0,1252718345.0,3048669847.0,-1795951502.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,,2015,Q1,,,,False,,False,False,,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,,2015,Q2,,,,False,,False,False,,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,,2015,Q3,CFS,,,False,,False,False,1784572286428.0,,,,False,20151116000622.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,,2015,Q4,CFS,-196218814431.0,,False,,True,False,1414306892213.0,273577514045.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q1,CFS,24483474680.0,,False,,True,False,1312387890546.0,9176040449.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q2,CFS,1810671948.0,,False,,True,True,1287309776244.0,-126407257418.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q3,CFS,2346327763.0,,False,,True,True,1262589275607.0,-77137903260.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102760,두산건설(주),2016,Q4,CFS,-15845459480.0,-196218814431.0,False,,True,True,1064676566637.0,85843143535.0,273577514045.0,-187734370510.0,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,,2015,Q1,CFS,172760383903.0,,False,,False,False,4816905840829.0,259875209430.0,,,False,20150515001430.0,20150515.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,,2015,Q2,CFS,192464552411.0,,False,,False,False,5028923860734.0,-47410815500.0,,,False,20150817000784.0,20150817.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,,2015,Q3,CFS,178719360516.0,,False,,False,False,5170141780654.0,162301624767.0,,,False,20151116000577.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00102858,,2015,Q4,CFS,128274636223.0,,False,513990324342.0,True,True,5219368828324.0,89907986049.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
