corp_code,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,statement_basis,period_end,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,basis_comparable_to_immediate_predecessor,signal_date_status,source_type,modern_oos_protected
00101664,2015,Q4,,,ok,OFS,,25632335257.0,5822515561.0,26109623151.0,10327824538.0,122817150566.0,4240141966.0,-4784751868.0,0.0,0.0,0.0,0.0,0.0,-4784751868.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101752,2015,Q1,20150514004483,20150514,ok,CFS,2015-03-31,-127691162.0,-127691162.0,-604588062.0,-604588062.0,45498435597.0,2914838966.0,2914838966.0,0.0,0.0,0.0,0.0,0.0,2914838966.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101752,2015,Q2,20150813000507,20150813,ok,CFS,2015-06-30,-539223757.0,-411532595.0,-1139786347.0,-535198285.0,44960646883.0,4945029457.0,2030190491.0,0.0,0.0,0.0,0.0,0.0,2030190491.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101752,2015,Q3,20151113000614,20151113,ok,CFS,2015-09-30,-630496411.0,-91272654.0,-2517297989.0,-1377511642.0,43523331183.0,4258477537.0,-686551920.0,0.0,0.0,0.0,0.0,0.0,-686551920.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101752,2015,Q4,,,ok,CFS,,-374134362.0,256362049.0,-2142465766.0,374832223.0,44140243190.0,3532102241.0,-726375296.0,0.0,0.0,0.0,0.0,0.0,-726375296.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00102113,2015,Q1,20150515000371,20150515,ok,CFS,2015-03-31,714417090.0,714417090.0,450688246.0,450688246.0,196988957835.0,-736060420.0,-736060420.0,1634397166.0,1634397166.0,76343400.0,76343400.0,1710740566.0,-2446800986.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102113,2015,Q2,20150813001318,20150813,ok,CFS,2015-06-30,4674346625.0,3959929535.0,4046314920.0,3595626674.0,201127105301.0,-6511237614.0,-5775177194.0,3578615165.0,1944217999.0,76343400.0,0.0,1944217999.0,-7719395193.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102113,2015,Q3,20151116000626,20151116,ok,CFS,2015-09-30,6025456816.0,1351110191.0,4035384894.0,-10930026.0,201904225471.0,-7959118206.0,-1447880592.0,5980564168.0,2401949003.0,76343400.0,0.0,2401949003.0,-3849829595.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102113,2015,Q4,,,ok,CFS,,6718133779.0,692676963.0,3670894653.0,-364490241.0,201125303678.0,5444861072.0,13403979278.0,10455012352.0,4474448184.0,76343400.0,0.0,4474448184.0,8929531094.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00102618,2015,Q1,20150515002339,20150515,ok,CFS,2015-03-31,2982641323.0,2982641323.0,2792615625.0,2792615625.0,154205260822.0,7688360725.0,7688360725.0,2410936905.0,2410936905.0,249009639.0,249009639.0,2659946544.0,5028414181.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
