mcap_cap,fcf_min,fcf_yoy_min,n,median,mean,win,ge20,le_m20,years
60000000000.0,5.0,5.0,25,9.317803660565716,16.86074761316921,0.88,0.2,0.0,3
80000000000.0,10.0,0.0,23,9.317803660565716,11.14916551699342,0.8695652173913043,0.17391304347826086,0.043478260869565216,3
100000000000.0,10.0,0.0,23,9.317803660565716,11.14916551699342,0.8695652173913043,0.17391304347826086,0.043478260869565216,3
100000000000.0,7.5,0.0,35,9.317803660565716,14.50443426820873,0.8285714285714286,0.22857142857142856,0.02857142857142857,3
40000000000.0,2.5,0.0,23,9.317803660565716,14.594807086869276,0.8260869565217391,0.17391304347826086,0.043478260869565216,3
60000000000.0,7.5,0.0,23,9.317803660565716,16.700583175946555,0.8260869565217391,0.21739130434782608,0.0,3
150000000000.0,10.0,15.0,17,9.317803660565716,13.887150157072616,0.8235294117647058,0.17647058823529413,0.0,3
200000000000.0,10.0,15.0,17,9.317803660565716,13.887150157072616,0.8235294117647058,0.17647058823529413,0.0,3
150000000000.0,5.0,12.5,27,9.317803660565716,13.158924755142287,0.8148148148148148,0.18518518518518517,0.0,3
200000000000.0,5.0,12.5,27,9.317803660565716,13.158924755142287,0.8148148148148148,0.18518518518518517,0.0,3
150000000000.0,10.0,12.5,19,9.317803660565716,13.200426378125103,0.7894736842105263,0.15789473684210525,0.0,3
200000000000.0,10.0,12.5,19,9.317803660565716,13.200426378125103,0.7894736842105263,0.15789473684210525,0.0,3
80000000000.0,5.0,10.0,26,9.258901830282863,11.134428606868822,0.9230769230769231,0.15384615384615385,0.038461538461538464,3
100000000000.0,5.0,5.0,36,9.258901830282863,12.868816311653513,0.8888888888888888,0.19444444444444445,0.027777777777777776,3
150000000000.0,2.5,10.0,42,9.258901830282863,11.423556452877747,0.8095238095238095,0.19047619047619047,0.023809523809523808,3
