corp_code,company_name,stock_code,corp_cls,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,source_type,statement_basis,period_end,basis_comparable_to_immediate_predecessor,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative_spend,capex_ppe_q_spend,capex_intangible_cumulative_spend,capex_intangible_q_spend,capex_q_spend,fcf_q,op_pure_method,ni_pure_method,cfo_pure_method,capex_ppe_pure_method,capex_intangible_pure_method,signal_date_status,modern_oos_protected
00104856,삼성증권,016360,Y,2015,Q1,20150515001829,20150515,no_xbrl_zip,EARLIEST_PERIODIC_RECEIPT_XBRL,,,True,,,,,,,,,,,,,,missing,missing,missing,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104856,삼성증권,016360,Y,2015,Q2,20150817000732,20150817,no_xbrl_zip,EARLIEST_PERIODIC_RECEIPT_XBRL,,,False,,,,,,,,,,,,,,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104856,삼성증권,016360,Y,2015,Q3,20151116000832,20151116,no_xbrl_zip,EARLIEST_PERIODIC_RECEIPT_XBRL,,,False,,,,,,,,,,,,,,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104856,삼성증권,016360,Y,2015,Q4,20160330003747,20160330,no_xbrl_zip,EARLIEST_PERIODIC_RECEIPT_XBRL,,,False,,,,,,,,,,,,,,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104999,윌비스,008600,Y,2015,Q1,20150515001518,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,3479204849.0,3479204849.0,1506313008.0,1506313008.0,127897966911.0,-3322402407.0,-3322402407.0,,,,,,,direct_q1,direct_q1,direct_q1,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104999,윌비스,008600,Y,2015,Q2,20150817000168,20150817,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,5631616965.0,2152412116.0,2123844076.0,617531068.0,130085663549.0,-5795217069.0,-2472814662.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104999,윌비스,008600,Y,2015,Q3,20151116000463,20151116,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,7725322884.0,2093705919.0,3051235433.0,927391357.0,134952483099.0,-4328754045.0,1466463024.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00104999,윌비스,008600,Y,2015,Q4,20160330001969,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,9829471472.0,2104148588.0,4191830037.0,1140594604.0,134209664758.0,1732507184.0,6061261229.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00105040,뉴인텍,012340,K,2015,Q1,20150512000213,20150512,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,310701895.0,310701895.0,-12459159.0,-12459159.0,18680366627.0,,,,,,,,,direct_q1,direct_q1,missing,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00105040,뉴인텍,012340,K,2015,Q2,20150812000186,20150812,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,333460092.0,22758197.0,-208151888.0,-195692729.0,18670770393.0,,,,,,,,,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
